customerID,gender,InternetService,Dependents,DeviceProtection,Contract,OnlineBackup,MultipleLines,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,Sum of tenure,tenure (bins),Sum of TotalCharges,Sum of MonthlyCharges,Churn
0002-ORFBO,Female,DSL,Yes,No,One year,Yes,No,No,Yes,Yes,Mailed check,Yes,No,No,Yes,Yes,9,5,593.3,65.6,No
0003-MKNFE,Male,DSL,No,No,Month-to-month,No,Yes,No,No,No,Mailed check,Yes,No,Yes,No,No,9,5,542.4,59.9,No
0004-TLHLJ,Male,Fiber optic,No,Yes,Month-to-month,No,No,No,Yes,No,Electronic check,Yes,No,No,No,No,4,0,280.85,73.9,Yes
0011-IGKFF,Male,Fiber optic,No,Yes,Month-to-month,Yes,No,No,Yes,Yes,Electronic check,Yes,yes,Yes,Yes,No,13,10,1237.85,98,Yes
0013-EXCHZ,Female,Fiber optic,No,No,Month-to-month,No,No,No,Yes,Yes,Mailed check,Yes,yes,No,Yes,Yes,3,0,267.4,83.9,Yes
0013-MHZWF,Female,DSL,Yes,No,Month-to-month,No,No,No,Yes,No,Credit card (automatic),Yes,No,Yes,Yes,Yes,9,5,571.45,69.4,No
0013-SMEOE,Female,Fiber optic,No,Yes,Two year,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,yes,Yes,Yes,Yes,71,70,7904.25,109.7,No
0014-BMAQU,Male,Fiber optic,No,No,Two year,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,No,Yes,63,60,5377.8,84.65,No
0015-UOCOJ,Female,DSL,No,No,Month-to-month,No,No,Yes,Yes,No,Electronic check,Yes,yes,No,No,No,7,5,340.35,48.2,No
0016-QLJIS,Female,DSL,Yes,Yes,Two year,Yes,Yes,Yes,Yes,Yes,Mailed check,Yes,No,Yes,Yes,Yes,65,65,5957.9,90.45,No
0017-DINOC,Male,DSL,No,No,Two year,No,No phone service,Yes,No,No,Credit card (automatic),No,No,No,Yes,Yes,54,50,2460.55,45.2,No
0017-IUDMW,Female,Fiber optic,Yes,Yes,Two year,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,Yes,72,70,8456.75,116.8,No
0018-NYROU,Female,Fiber optic,No,No,Month-to-month,No,No,No,Yes,Yes,Electronic check,Yes,No,No,No,No,5,5,351.5,68.95,No
0019-EFAEP,Female,Fiber optic,No,Yes,Two year,Yes,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,No,No,Yes,No,72,70,7261.25,101.3,No
0019-GFNTW,Female,DSL,No,Yes,Two year,Yes,No phone service,Yes,No,No,Bank transfer (automatic),No,No,No,No,Yes,56,55,2560.1,45.05,No
0020-INWCK,Female,Fiber optic,Yes,Yes,Two year,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,No,No,71,70,6849.4,95.75,No
